,nosetip_x,nosetip_y,chin_x,chin_y,left_eye_corner_x,left_eye_corner_y,right_eye_corner_x,right_eye_corner_y,left_mouth_corner_x,left_mouth_corner_y,right_mouth_corner_x,right_mouth_corner_y,nose_end_point_x,nose_end_point_y,head_pose1_x,head_pose1_y,head_pose2_x,head_pose2_y,jerk_expected
343,606.0,1337.0,541.0,1550.0,406.0,1224.0,664.0,1186.0,466.0,1427.0,619.0,1406.0,1467,1843,594,1341,3892,2854,0
344,608.0,1338.0,541.0,1553.0,408.0,1224.0,664.0,1186.0,467.0,1429.0,620.0,1408.0,1497,1841,596,1342,3692,2705,0
345,607.0,1341.0,541.0,1552.0,405.0,1224.0,666.0,1185.0,466.0,1428.0,620.0,1407.0,1500,1885,595,1343,3901,2892,0
346,607.0,1339.0,540.0,1554.0,407.0,1224.0,664.0,1185.0,466.0,1432.0,619.0,1410.0,1512,1850,596,1343,3646,2676,0
347,607.0,1340.0,543.0,1553.0,405.0,1223.0,667.0,1183.0,467.0,1429.0,622.0,1407.0,1517,1883,596,1343,4046,2998,0
348,605.0,1336.0,536.0,1550.0,408.0,1224.0,663.0,1191.0,466.0,1427.0,615.0,1409.0,1435,1812,592,1342,3786,2812,0
349,603.0,1339.0,539.0,1549.0,402.0,1224.0,663.0,1187.0,464.0,1428.0,618.0,1407.0,1447,1852,590,1342,4273,3178,0
350,604.0,1340.0,538.0,1551.0,404.0,1225.0,663.0,1187.0,464.0,1429.0,618.0,1408.0,1468,1862,592,1343,3910,2893,0
351,606.0,1339.0,538.0,1554.0,406.0,1223.0,663.0,1187.0,465.0,1431.0,616.0,1410.0,1501,1841,594,1343,3651,2698,0
352,605.0,1340.0,541.0,1551.0,403.0,1224.0,665.0,1185.0,466.0,1428.0,622.0,1406.0,1479,1877,593,1343,4274,3176,0
353,604.0,1340.0,541.0,1550.0,403.0,1224.0,665.0,1186.0,467.0,1428.0,621.0,1407.0,1464,1864,592,1342,4356,3242,0
354,603.0,1342.0,540.0,1552.0,401.0,1225.0,664.0,1186.0,465.0,1428.0,620.0,1407.0,1477,1884,592,1344,4293,3202,0
355,604.0,1342.0,542.0,1551.0,401.0,1225.0,665.0,1186.0,466.0,1427.0,623.0,1406.0,1465,1888,592,1343,4675,3506,0
356,605.0,1343.0,544.0,1553.0,400.0,1224.0,667.0,1183.0,465.0,1431.0,624.0,1407.0,1506,1912,594,1344,4747,3564,0
357,604.0,1344.0,541.0,1551.0,400.0,1225.0,666.0,1184.0,464.0,1428.0,622.0,1406.0,1489,1926,592,1345,4426,3326,0
