,nosetip_x,nosetip_y,chin_x,chin_y,left_eye_corner_x,left_eye_corner_y,right_eye_corner_x,right_eye_corner_y,left_mouth_corner_x,left_mouth_corner_y,right_mouth_corner_x,right_mouth_corner_y,nose_end_point_x,nose_end_point_y,head_pose1_x,head_pose1_y,head_pose2_x,head_pose2_y,jerk_expected
54,467.0,1112.0,493.0,1262.0,434.0,1046.0,580.0,1055.0,452.0,1174.0,544.0,1180.0,92,1184,469,1121,-1935,6117,1
55,466.0,1111.0,492.0,1262.0,434.0,1045.0,580.0,1055.0,452.0,1175.0,544.0,1181.0,88,1180,469,1121,-2159,6588,1
56,466.0,1112.0,493.0,1262.0,434.0,1046.0,578.0,1055.0,453.0,1175.0,544.0,1180.0,84,1189,468,1122,-1929,5884,1
57,466.0,1113.0,493.0,1262.0,432.0,1045.0,579.0,1054.0,451.0,1174.0,544.0,1180.0,86,1195,468,1122,-1954,6371,1
58,465.0,1114.0,494.0,1261.0,432.0,1044.0,579.0,1054.0,451.0,1175.0,544.0,1181.0,83,1202,468,1122,-1922,6331,1
59,465.0,1110.0,491.0,1261.0,432.0,1044.0,579.0,1053.0,450.0,1174.0,543.0,1179.0,88,1178,467,1119,-2238,6951,1
60,465.0,1110.0,492.0,1262.0,433.0,1046.0,578.0,1053.0,452.0,1175.0,543.0,1180.0,83,1177,467,1120,-2270,6654,1
61,464.0,1110.0,491.0,1261.0,432.0,1044.0,578.0,1054.0,450.0,1174.0,542.0,1180.0,86,1183,467,1120,-2101,6508,1
62,464.0,1110.0,490.0,1261.0,433.0,1045.0,577.0,1054.0,451.0,1174.0,542.0,1179.0,83,1177,466,1120,-2105,6131,1
63,463.0,1111.0,490.0,1261.0,430.0,1044.0,577.0,1053.0,449.0,1174.0,542.0,1180.0,84,1186,466,1120,-2177,6891,1
64,463.0,1113.0,490.0,1262.0,430.0,1045.0,576.0,1053.0,449.0,1175.0,542.0,1180.0,77,1190,465,1121,-2217,6755,1
65,463.0,1111.0,490.0,1262.0,431.0,1045.0,576.0,1054.0,449.0,1175.0,541.0,1180.0,79,1185,465,1121,-2154,6457,1
66,462.0,1111.0,488.0,1261.0,430.0,1044.0,576.0,1054.0,449.0,1174.0,540.0,1180.0,79,1183,464,1120,-2162,6466,1
67,462.0,1111.0,490.0,1263.0,429.0,1044.0,575.0,1053.0,447.0,1175.0,540.0,1180.0,72,1193,463,1121,-2299,6947,1
68,462.0,1109.0,490.0,1263.0,433.0,1044.0,574.0,1054.0,450.0,1175.0,539.0,1181.0,59,1188,463,1121,-2257,5970,1
69,462.0,1108.0,490.0,1262.0,432.0,1044.0,574.0,1053.0,450.0,1174.0,539.0,1179.0,66,1184,463,1120,-2195,5993,1
70,461.0,1110.0,490.0,1262.0,431.0,1044.0,575.0,1053.0,448.0,1176.0,538.0,1181.0,66,1184,463,1121,-2398,6586,1
71,460.0,1107.0,490.0,1262.0,433.0,1043.0,576.0,1053.0,450.0,1176.0,536.0,1181.0,58,1174,463,1119,-2633,6546,1
72,462.0,1111.0,489.0,1262.0,429.0,1044.0,575.0,1053.0,446.0,1175.0,538.0,1181.0,72,1189,463,1121,-2243,6648,1
73,461.0,1111.0,489.0,1261.0,429.0,1044.0,574.0,1053.0,446.0,1175.0,538.0,1181.0,74,1189,463,1121,-2137,6387,1
74,460.0,1111.0,488.0,1262.0,429.0,1043.0,574.0,1054.0,445.0,1175.0,537.0,1181.0,68,1189,462,1121,-2299,6644,1
75,457.0,1114.0,486.0,1260.0,425.0,1042.0,572.0,1053.0,443.0,1174.0,537.0,1180.0,69,1203,460,1121,-2080,6612,1
76,457.0,1112.0,486.0,1261.0,426.0,1041.0,572.0,1052.0,444.0,1174.0,537.0,1180.0,58,1197,459,1120,-2487,7234,1
77,456.0,1109.0,484.0,1264.0,423.0,1042.0,572.0,1051.0,442.0,1174.0,537.0,1180.0,62,1188,459,1119,-3317,9965,1
78,456.0,1108.0,484.0,1266.0,424.0,1042.0,572.0,1051.0,442.0,1175.0,538.0,1180.0,54,1185,459,1119,-4284,12080,1
79,457.0,1108.0,484.0,1265.0,423.0,1043.0,572.0,1050.0,442.0,1175.0,537.0,1179.0,61,1179,459,1119,-4035,11657,1
80,456.0,1108.0,485.0,1264.0,424.0,1043.0,571.0,1051.0,443.0,1174.0,537.0,1179.0,62,1186,459,1119,-3062,8949,0
81,454.0,1109.0,484.0,1264.0,423.0,1042.0,571.0,1050.0,442.0,1174.0,536.0,1179.0,53,1187,457,1119,-3635,10236,0
82,455.0,1110.0,485.0,1264.0,422.0,1043.0,570.0,1051.0,442.0,1175.0,537.0,1180.0,61,1196,458,1120,-2972,9161,0
83,456.0,1110.0,484.0,1260.0,424.0,1041.0,571.0,1050.0,443.0,1172.0,536.0,1178.0,62,1190,458,1118,-2523,7437,0
84,455.0,1109.0,482.0,1263.0,423.0,1041.0,570.0,1050.0,441.0,1173.0,535.0,1178.0,51,1186,457,1118,-3223,8870,0
85,454.0,1112.0,483.0,1260.0,423.0,1040.0,570.0,1051.0,441.0,1173.0,533.0,1179.0,53,1198,456,1120,-2477,7105,0
86,454.0,1111.0,481.0,1260.0,423.0,1039.0,569.0,1052.0,440.0,1171.0,532.0,1178.0,51,1199,455,1119,-2296,6533,0
87,452.0,1113.0,483.0,1260.0,422.0,1041.0,568.0,1052.0,440.0,1173.0,533.0,1179.0,56,1203,455,1120,-2267,6797,0
88,454.0,1112.0,482.0,1261.0,425.0,1041.0,568.0,1054.0,440.0,1173.0,531.0,1180.0,49,1198,455,1121,-2189,5989,0
89,453.0,1112.0,481.0,1262.0,425.0,1041.0,568.0,1054.0,440.0,1173.0,531.0,1180.0,44,1195,455,1121,-2383,6288,0
90,451.0,1112.0,479.0,1260.0,422.0,1039.0,566.0,1054.0,439.0,1172.0,531.0,1180.0,46,1207,453,1121,-2140,6103,0
91,451.0,1113.0,481.0,1262.0,420.0,1041.0,566.0,1052.0,439.0,1173.0,532.0,1179.0,46,1209,453,1121,-2380,6969,0
92,451.0,1113.0,480.0,1260.0,422.0,1039.0,566.0,1053.0,439.0,1172.0,531.0,1179.0,42,1209,453,1121,-2197,6188,0
93,449.0,1113.0,479.0,1262.0,420.0,1040.0,565.0,1053.0,438.0,1174.0,530.0,1180.0,38,1207,452,1121,-2520,6961,0
94,451.0,1111.0,480.0,1263.0,424.0,1041.0,568.0,1054.0,438.0,1173.0,530.0,1181.0,43,1192,454,1120,-2654,6956,0
95,452.0,1112.0,482.0,1262.0,423.0,1041.0,567.0,1053.0,439.0,1173.0,530.0,1180.0,43,1202,454,1121,-2347,6419,0
96,450.0,1112.0,479.0,1263.0,419.0,1041.0,566.0,1052.0,437.0,1173.0,532.0,1180.0,47,1203,453,1121,-2712,7956,0
97,449.0,1114.0,480.0,1261.0,420.0,1040.0,565.0,1053.0,438.0,1173.0,531.0,1180.0,42,1214,452,1122,-2266,6597,0
98,451.0,1111.0,480.0,1262.0,421.0,1041.0,568.0,1052.0,438.0,1174.0,531.0,1180.0,51,1190,454,1120,-2903,8119,0
99,450.0,1112.0,479.0,1261.0,421.0,1040.0,566.0,1053.0,437.0,1172.0,530.0,1179.0,47,1201,453,1120,-2352,6652,0
100,450.0,1111.0,480.0,1261.0,420.0,1040.0,567.0,1051.0,438.0,1173.0,531.0,1179.0,48,1196,453,1119,-2771,7883,0
101,451.0,1111.0,478.0,1259.0,420.0,1040.0,566.0,1052.0,437.0,1171.0,530.0,1178.0,58,1195,453,1119,-2198,6497,0
102,449.0,1113.0,479.0,1261.0,421.0,1039.0,565.0,1054.0,437.0,1172.0,529.0,1180.0,38,1212,451,1121,-2212,6200,0
103,449.0,1112.0,479.0,1262.0,420.0,1041.0,566.0,1052.0,436.0,1173.0,529.0,1180.0,45,1196,452,1120,-2722,7526,0
104,449.0,1112.0,478.0,1260.0,420.0,1040.0,565.0,1052.0,436.0,1172.0,528.0,1179.0,46,1195,451,1119,-2450,6761,0
105,447.0,1112.0,477.0,1261.0,417.0,1040.0,563.0,1052.0,435.0,1172.0,529.0,1179.0,45,1207,450,1120,-2378,7028,0
106,447.0,1112.0,476.0,1259.0,418.0,1040.0,562.0,1053.0,435.0,1171.0,527.0,1179.0,48,1204,450,1120,-2062,6000,0
107,447.0,1112.0,475.0,1259.0,417.0,1040.0,562.0,1052.0,434.0,1171.0,527.0,1178.0,49,1200,449,1119,-2194,6373,0
108,446.0,1113.0,475.0,1259.0,418.0,1040.0,560.0,1053.0,434.0,1171.0,526.0,1178.0,41,1205,448,1120,-2062,5768,0
109,443.0,1113.0,473.0,1259.0,415.0,1041.0,559.0,1052.0,433.0,1172.0,526.0,1178.0,45,1199,447,1120,-2281,6520,0
110,444.0,1114.0,475.0,1261.0,415.0,1041.0,559.0,1053.0,433.0,1173.0,526.0,1180.0,38,1214,447,1122,-2208,6411,0
