,nosetip_x,nosetip_y,chin_x,chin_y,left_eye_corner_x,left_eye_corner_y,right_eye_corner_x,right_eye_corner_y,left_mouth_corner_x,left_mouth_corner_y,right_mouth_corner_x,right_mouth_corner_y,nose_end_point_x,nose_end_point_y,head_pose1_x,head_pose1_y,head_pose2_x,head_pose2_y
134,620.0,1333.0,552.0,1558.0,421.0,1222.0,677.0,1187.0,476.0,1430.0,632.0,1409.0,1524,1828,608,1341,4289,3208
135,618.0,1333.0,552.0,1557.0,421.0,1224.0,675.0,1188.0,477.0,1429.0,632.0,1409.0,1502,1812,607,1341,4220,3125
136,617.0,1340.0,554.0,1557.0,418.0,1226.0,676.0,1188.0,476.0,1429.0,635.0,1408.0,1511,1871,606,1344,4547,3400
137,618.0,1336.0,554.0,1556.0,420.0,1224.0,677.0,1187.0,477.0,1428.0,634.0,1407.0,1510,1850,607,1342,4404,3282
138,617.0,1334.0,553.0,1555.0,419.0,1224.0,675.0,1186.0,477.0,1428.0,633.0,1407.0,1503,1830,606,1341,4305,3176
139,617.0,1339.0,555.0,1556.0,420.0,1225.0,674.0,1186.0,478.0,1429.0,634.0,1407.0,1533,1851,608,1343,3940,2876
140,617.0,1334.0,552.0,1555.0,420.0,1223.0,676.0,1186.0,477.0,1428.0,632.0,1408.0,1508,1833,607,1341,4233,3145
141,617.0,1337.0,553.0,1556.0,420.0,1224.0,674.0,1187.0,477.0,1428.0,634.0,1407.0,1518,1842,607,1342,4133,3049
142,618.0,1336.0,556.0,1555.0,419.0,1224.0,675.0,1186.0,478.0,1427.0,636.0,1405.0,1511,1841,607,1341,4435,3260
143,615.0,1338.0,553.0,1552.0,417.0,1224.0,675.0,1186.0,476.0,1428.0,633.0,1406.0,1494,1862,605,1342,4402,3265
144,617.0,1334.0,552.0,1555.0,421.0,1223.0,675.0,1188.0,477.0,1426.0,632.0,1407.0,1497,1823,606,1340,4222,3139
145,618.0,1334.0,555.0,1554.0,420.0,1223.0,675.0,1186.0,478.0,1426.0,635.0,1405.0,1502,1827,607,1340,4376,3221
146,618.0,1332.0,552.0,1553.0,421.0,1222.0,675.0,1186.0,477.0,1425.0,632.0,1406.0,1496,1819,606,1339,4158,3076
147,616.0,1334.0,553.0,1552.0,417.0,1224.0,676.0,1188.0,476.0,1423.0,634.0,1403.0,1456,1846,603,1340,4984,3750
148,614.0,1336.0,556.0,1553.0,417.0,1224.0,676.0,1187.0,477.0,1424.0,636.0,1403.0,1473,1853,604,1340,5113,3826
149,616.0,1338.0,559.0,1552.0,417.0,1226.0,676.0,1189.0,478.0,1425.0,637.0,1404.0,1454,1844,604,1341,5382,4013
150,616.0,1337.0,559.0,1553.0,418.0,1226.0,677.0,1188.0,479.0,1425.0,638.0,1404.0,1464,1847,605,1341,5312,3957
151,618.0,1341.0,559.0,1555.0,420.0,1226.0,675.0,1187.0,479.0,1431.0,636.0,1407.0,1523,1852,609,1344,4172,3033
152,617.0,1339.0,560.0,1551.0,420.0,1226.0,674.0,1186.0,481.0,1428.0,637.0,1404.0,1498,1838,608,1341,4164,2986
153,616.0,1339.0,558.0,1550.0,420.0,1227.0,673.0,1188.0,480.0,1426.0,635.0,1403.0,1475,1838,606,1342,4047,2903
154,618.0,1338.0,561.0,1549.0,420.0,1226.0,677.0,1186.0,482.0,1425.0,640.0,1402.0,1471,1854,607,1341,4706,3432
155,617.0,1340.0,560.0,1551.0,420.0,1227.0,676.0,1187.0,480.0,1426.0,638.0,1403.0,1484,1865,607,1343,4417,3216
156,619.0,1338.0,560.0,1552.0,422.0,1225.0,676.0,1186.0,481.0,1425.0,638.0,1403.0,1506,1848,609,1341,4195,3043
157,618.0,1337.0,555.0,1552.0,423.0,1223.0,675.0,1187.0,480.0,1425.0,635.0,1405.0,1505,1837,609,1341,3972,2910
158,620.0,1336.0,556.0,1550.0,423.0,1223.0,677.0,1187.0,481.0,1423.0,637.0,1403.0,1487,1845,609,1340,4226,3114
159,620.0,1334.0,556.0,1551.0,424.0,1222.0,677.0,1187.0,481.0,1424.0,635.0,1405.0,1492,1820,609,1339,4165,3068
160,619.0,1341.0,560.0,1551.0,424.0,1225.0,678.0,1187.0,482.0,1426.0,639.0,1404.0,1507,1871,610,1343,4146,3031
161,619.0,1338.0,561.0,1551.0,424.0,1225.0,677.0,1186.0,483.0,1426.0,638.0,1404.0,1504,1840,610,1341,4066,2935
162,620.0,1340.0,562.0,1552.0,424.0,1224.0,679.0,1185.0,483.0,1428.0,640.0,1405.0,1527,1863,612,1342,4230,3084
163,619.0,1339.0,562.0,1551.0,423.0,1225.0,679.0,1186.0,483.0,1427.0,640.0,1404.0,1500,1858,610,1342,4463,3261
164,620.0,1336.0,560.0,1550.0,426.0,1223.0,678.0,1185.0,483.0,1425.0,639.0,1404.0,1507,1837,611,1340,4067,2957
165,621.0,1338.0,561.0,1552.0,427.0,1223.0,679.0,1186.0,484.0,1426.0,639.0,1405.0,1524,1843,613,1341,3997,2915
166,621.0,1334.0,559.0,1553.0,427.0,1222.0,677.0,1188.0,483.0,1423.0,637.0,1404.0,1504,1807,611,1339,4050,2961
167,623.0,1333.0,562.0,1550.0,427.0,1222.0,678.0,1186.0,485.0,1424.0,639.0,1403.0,1498,1802,612,1338,4119,2974
168,622.0,1333.0,559.0,1550.0,427.0,1222.0,680.0,1187.0,484.0,1424.0,638.0,1405.0,1484,1814,611,1339,4329,3190
169,622.0,1339.0,562.0,1552.0,425.0,1225.0,676.0,1184.0,485.0,1426.0,639.0,1403.0,1541,1845,614,1341,3652,2591
170,626.0,1333.0,563.0,1551.0,428.0,1222.0,677.0,1184.0,486.0,1422.0,640.0,1401.0,1529,1808,615,1337,3745,2670
171,623.0,1331.0,557.0,1550.0,429.0,1221.0,681.0,1188.0,485.0,1423.0,638.0,1404.0,1479,1811,612,1338,4224,3130
172,624.0,1333.0,559.0,1550.0,429.0,1221.0,681.0,1188.0,486.0,1424.0,638.0,1405.0,1490,1809,613,1338,4171,3077
173,624.0,1336.0,563.0,1548.0,425.0,1222.0,680.0,1183.0,485.0,1425.0,639.0,1402.0,1519,1846,613,1339,4027,2903
174,627.0,1334.0,566.0,1550.0,428.0,1223.0,681.0,1183.0,489.0,1425.0,642.0,1403.0,1526,1819,616,1338,4014,2867
175,627.0,1333.0,565.0,1549.0,429.0,1223.0,682.0,1183.0,488.0,1424.0,643.0,1401.0,1516,1834,616,1338,4024,2886
176,627.0,1336.0,567.0,1546.0,426.0,1225.0,682.0,1183.0,489.0,1425.0,643.0,1402.0,1496,1841,615,1339,4243,3027
177,628.0,1334.0,565.0,1549.0,428.0,1222.0,684.0,1184.0,488.0,1424.0,642.0,1403.0,1511,1837,616,1338,4344,3171
178,628.0,1333.0,566.0,1547.0,428.0,1223.0,684.0,1185.0,490.0,1424.0,642.0,1403.0,1484,1817,615,1338,4456,3230
179,628.0,1332.0,565.0,1547.0,428.0,1223.0,684.0,1184.0,489.0,1422.0,644.0,1402.0,1482,1827,615,1337,4605,3359
180,629.0,1333.0,565.0,1550.0,430.0,1224.0,686.0,1186.0,491.0,1426.0,645.0,1405.0,1490,1825,617,1339,4632,3397
181,628.0,1331.0,564.0,1553.0,429.0,1222.0,682.0,1184.0,489.0,1426.0,643.0,1405.0,1526,1801,617,1337,4270,3091
182,629.0,1331.0,566.0,1551.0,430.0,1222.0,684.0,1184.0,490.0,1425.0,644.0,1404.0,1514,1807,617,1337,4405,3194
183,630.0,1331.0,567.0,1553.0,431.0,1222.0,686.0,1183.0,491.0,1427.0,645.0,1406.0,1534,1812,619,1338,4450,3237
184,627.0,1333.0,564.0,1552.0,427.0,1222.0,684.0,1184.0,488.0,1427.0,643.0,1406.0,1517,1824,615,1339,4696,3448
185,627.0,1332.0,564.0,1552.0,427.0,1223.0,685.0,1184.0,488.0,1425.0,644.0,1404.0,1506,1835,615,1339,4819,3552
186,627.0,1332.0,564.0,1551.0,429.0,1224.0,684.0,1185.0,488.0,1424.0,644.0,1403.0,1497,1831,615,1339,4494,3287
187,625.0,1333.0,563.0,1552.0,428.0,1223.0,683.0,1186.0,487.0,1426.0,642.0,1405.0,1500,1821,614,1339,4557,3347
188,626.0,1332.0,564.0,1551.0,427.0,1224.0,685.0,1185.0,488.0,1425.0,645.0,1403.0,1486,1837,614,1339,4990,3685
189,627.0,1332.0,564.0,1551.0,427.0,1224.0,684.0,1185.0,487.0,1424.0,644.0,1403.0,1490,1833,614,1339,4816,3543
190,626.0,1333.0,564.0,1552.0,427.0,1223.0,686.0,1183.0,488.0,1427.0,644.0,1406.0,1515,1844,615,1339,4852,3588
191,625.0,1332.0,562.0,1551.0,428.0,1224.0,684.0,1185.0,487.0,1425.0,643.0,1404.0,1491,1836,614,1339,4575,3369
192,624.0,1332.0,562.0,1552.0,425.0,1223.0,685.0,1183.0,487.0,1428.0,642.0,1407.0,1505,1835,613,1339,4965,3677
193,625.0,1332.0,561.0,1552.0,426.0,1223.0,684.0,1184.0,486.0,1425.0,643.0,1404.0,1503,1845,613,1339,4765,3534
194,626.0,1334.0,562.0,1556.0,426.0,1223.0,682.0,1184.0,486.0,1429.0,642.0,1407.0,1543,1832,615,1340,4413,3231
195,625.0,1332.0,561.0,1553.0,427.0,1223.0,683.0,1185.0,487.0,1426.0,642.0,1405.0,1508,1827,614,1339,4530,3334
196,625.0,1333.0,560.0,1558.0,427.0,1222.0,682.0,1185.0,486.0,1429.0,640.0,1408.0,1550,1823,616,1340,4273,3148
197,624.0,1333.0,561.0,1554.0,425.0,1222.0,685.0,1184.0,486.0,1426.0,643.0,1406.0,1515,1849,614,1339,5131,3847
198,625.0,1332.0,559.0,1555.0,425.0,1223.0,684.0,1185.0,485.0,1426.0,642.0,1406.0,1510,1844,613,1340,4922,3685
199,625.0,1333.0,559.0,1555.0,427.0,1222.0,683.0,1186.0,484.0,1426.0,641.0,1406.0,1519,1840,614,1340,4582,3423
200,625.0,1334.0,561.0,1555.0,426.0,1223.0,685.0,1185.0,485.0,1427.0,642.0,1407.0,1520,1852,614,1341,4876,3653
201,626.0,1334.0,561.0,1558.0,426.0,1222.0,684.0,1184.0,485.0,1428.0,642.0,1407.0,1555,1851,616,1341,4598,3421
202,626.0,1334.0,559.0,1558.0,428.0,1222.0,681.0,1185.0,484.0,1427.0,640.0,1407.0,1558,1837,616,1340,4051,2992
